id,name
43,"elektrické plátno"
46,"študentský počítač"
48,"televízor"
41,"tabuľa"
42,"dataprojektor"
45,"katedrový (učiteľský) počítač"
49,"videoprehrávač"
50,"spätný projektor"
44,"vizualizér"
47,"CD/audio prehrávač"
153,"interaktívna tabuľa"
134,"tlačiareň"
53,"rysovací stôl"
216,"reprosústava"
220,"webová kamera"
215,"AV receiver"
218,"terminál"
217,"presvetľovací stôl"
